id;identificao;tipo_instrumento_monitoramento;tipo_medicao;url_get_medicao;intervalo_medicao_api;variancia_tolerada;limite_superior
1;Optional;PIEZOMETRO;MANUAL;Legacy Unbranded Plastic Chips;95041;5786;89026
2;Court Money Market Account;PIEZOMETRO;MANUAL;analyzing holistic;25994;98621;45324
3;Beauty dynamic schemas;PIEZOMETRO;MANUAL;Personal Loan Account markets;93272;87666;86606
4;Rustic Steel Shirt drive;PIEZOMETRO;MANUAL;Practical Steel Shirt Plastic Movies;7535;86472;69171
5;Zimbabwe parse Customer;PIEZOMETRO;MANUAL;Response;60617;20722;22864
6;El Salvador Colon US Dollar Checking Account global;PIEZOMETRO;MANUAL;solution connecting;96797;56093;8840
7;redundant Connecticut Burg;PIEZOMETRO;MANUAL;seamless New York mesh;43747;9100;90415
8;real-time Berkshire solid state;PIEZOMETRO;MANUAL;compress Practical Steel Chips;62080;49261;34741
9;orchid;PIEZOMETRO;MANUAL;Shirt Metal;64087;18006;18188
10;best-of-breed Human Mission;PIEZOMETRO;MANUAL;Brazil;53442;46077;35599
