id;identificacao;url_ativar
1;North Dakota incubate deposit;haptic parsing
2;revolutionize Branding;teal analyzing yellow
3;Books Generic;robust withdrawal generate
4;Garden open-source hybrid;Solomon Islands Dollar
5;Personal Loan Account HTTP;schemas Specialist China
6;quantify multi-byte;interface Cotton Robust
7;user-centric Infrastructure;Managed Dobra application
8;Fantastic;Liechtenstein Buckinghamshire monetize
9;Direct;Small Frozen Salad bypassing
10;time-frame Quality;Borders Borders Practical
