id;identificao;data;valor
1;Steel Avon Visionary;2020-02-04T03:49:32;37427
2;transition open-source Interactions;2020-02-03T18:06:47;59188
3;dynamic bandwidth Buckinghamshire;2020-02-04T08:42:18;55840
4;communities National Cotton;2020-02-04T05:57:14;25368
5;grow;2020-02-04T04:03:41;5630
6;Soft Fresh payment;2020-02-03T23:52:19;68103
7;Versatile seize;2020-02-04T06:18:42;28571
8;EXE;2020-02-04T12:24:38;43633
9;auxiliary Strategist Arizona;2020-02-04T10:01:56;89114
10;Tuvalu;2020-02-03T17:56:45;91911
